Question,Answer,Category
Can the Reserve Bank collect any authorisation fees and direct the applicant to  furnish a security deposit?,"Yes, Section 7 of the PSS Act, 2007 empowers the Reserve Bank to collect authorization fees while granting authorization. It can also call upon the applicant to furnish a security deposit for the proper conduct of the payment system. The quantum of authorization fees and security deposit can be decided by the Reserve Bank.",Payment and Settlement Systems Act
Does the Reserve Bank have powers to lay down any standards?,"The Reserve Bank is empowered to prescribe the format of payment instructions, size and shape of instructions, timings to be maintained by payment systems, manner of funds transfer criteria for membership including continuation, termination and rejection of membership, terms and conditions for participation in the payment system etc (Section 10 of PSS Act, 2007).",Payment and Settlement Systems Act
"Whether the Reserve Bank can call for returns, information etc., from the  system provider with regard to the operation of the payment system?","The Reserve Bank is empowered to call for from the system provider returns, documents and other information relating to the operation of the payment system. The system provider and all system participants are required to provide Reserve Bank access to any information relating to the operation of the payment system (Section 12 and 13 of PSS Act, 2007).",Payment and Settlement Systems Act
"Whether the Reserve Bank can share such information as received above with  other regulators, etc.?","Yes, under Section 15 (2) of the PSS Act, the Reserve Bank may disclose any document or information obtained by it to any person to whom the disclosure of such document or information is considered necessary for protecting the integrity, effectiveness or security of the payment system, or in the interest of banking or monetary policy or the operation of the payment systems generally or in the public interest.",Payment and Settlement Systems Act
Can the Reserve Bank inspect the premises of the system provider?,"The Reserve Bank, in order to ensure compliance of the provisions of the PSS Act, 2007 and the Regulations made thereunder, can depute an officer authorized by it to enter any premises where a payment system is being operated, inspect any equipment, including any computer system or document, and call upon any employee of the system provider or participant to provide any document or information as required by it (Section 14 of PSS Act, 2007).",Payment and Settlement Systems Act
Can Reserve Bank conduct inspection of foreign entities authorized by it but  located in foreign jurisdictions?,"Yes, Reserve Bank has the authority to conduct on-site inspection, under the PSS Act. 
However, foreign entities located in overseas jurisdictions may be exempted from certain requirements applicable to domestic payment systems (India) subject to the RBI concluding cooperative agreements with the home regulator/s.",Payment and Settlement Systems Act
Can the Reserve Bank issue directions to the system provider?,"The Reserve Bank is authorized to issue directions to a payment system or system participant to cease or desist from engaging in any act, omission or course of conduct or direct it to perform any acts as well as issue general directions in the interests of the smooth operation of the payment system (Section 17 and 18 of the PSS Act, 2007).",Payment and Settlement Systems Act
Does the PSS Act 2007 deal with netting and settlement finality?,"The PSS Act 2007 defines ìnettingî and legally recognizes settlement finality. It states that a settlement, whether gross or net, will be final and irrevocable as soon as the money, securities, foreign exchange or derivatives or other transactions payable as a result of such settlement is determined, whether or not such money, securities or foreign exchange or other transactions is actually paid. In case a system participant is declared insolvent, or is dissolved or is wound up, no other law can affect any settlement which has become final and irrevocable and the right of the system provider to appropriate the collaterals contributed by the system participants towards settlement or other obligations. 
This Act also legally recognizes the loss allocation among system participants and payment system, where the rules provide for this mechanism",Payment and Settlement Systems Act
"What are the duties of a system provider under the PSS Act, 2007?","The PSS Act, 2007 lays down the duties of the system provider. The system provider is required to operate the payment system in accordance with the provisions of the Act and the Regulations, the terms and conditions of authorization and the directions given by the Reserve Bank from time to time. The system provider is also required to act in accordance with the contract governing the relationship among the system participants and the rules and regulations which deal with the operation of the payment system. The Act requires the system provider to disclose the terms and conditions including the charges, limitations of liability etc., under the payment system to the system participants. The Act also requires the system provider to provide copies of all the rules and regulations governing the operation of the payment system and other relevant documents to the system participants. The system provider is required to keep the documents and its contents, provided to it by the system participants, as confidential and is prohibited from disclosing the same, except in accordance with the provisions of law.(Sections 20 to 22 of the Act)",Payment and Settlement Systems Act
"What is the mechanism for settlement of disputes under the PSS Act, 2007?","The Act lays down an elaborate mechanism for settlement of disputes between system participants in a payment system, between system participant and system provider and between system providers. The Act requires the system provider to make provision in its rules or regulations for creation of a panel to decide disputes between system participants. Where any system participant is dissatisfied with the decision of the panel, or where disputes arises between system participant and system provider or between system providers, such disputes are required to be referred to the Reserve Bank for adjudication, whose decision shall be final and binding on the parties. In cases where the Reserve Bank, in its capacity either as a system participant or system provider, is itself a party to the dispute, then there is a provision for referring such cases to the Central Government for adjudication. (Section 24 of Act)",Payment and Settlement Systems Act
"What are the consequences of dishonour of electronic fund transfer under the  PSS Act, 2007?","Under the PSS Act, 2007, dishonour of an electronic fund transfer instruction due to insufficiency of funds in the account etc., is an offence punishable with imprisonment or with fine or both, similar to the dishonour of a cheque under the Negotiable Instruments Act 1881. Subject to complying with the procedures laid down under the PSS Act, 2007, criminal prosecution of defaulter can be initiated in such cases. This provision was introduced to discourage dishonour of electronic payment instructions. (Section 25 of the Act)",Payment and Settlement Systems Act
"Are there any penalties or punitive action laid down under the PSS Act, 2007?","Under the PSS Act, 2007, operating a payment system without authorization, failure to comply with the terms of authorization, failure to produce statements, returns information or documents or providing false statement or information, disclosing prohibited information, non-compliance of directions of Reserve Bank violations of any of the provisions of the Act, Regulations, order, directions etc., are offences punishable for which Reserve Bank can initiate criminal prosecution. Reserve Bank is also empowered to impose fine for certain contraventions under the Act. (Sections 26 and 30 of the PSS Act, 2007).",Payment and Settlement Systems Act
Whether a Joint Account can be continued for family pension after death of a pensioner?,"Yes, the banks should not insist on opening of a new account in case of Central Government pensioner if the spouse in whose favour an authorization for family pension exists in the Pension Payment Order (PPO) is the survivor. The family pension should be credited to the existing account without opening a new account by the family pensioner for this purpose.",Payment of Pension to Government Pensioners
When is the pension credited to the pensioner's account by the paying branch?,The pension paying banks credit the pension amount in the accounts of the pensioners based on the instructions given by the Pension Paying Authorities.,Payment of Pension to Government Pensioners
Can the pension paying bank recover the excess amount credited to the pensioner's account?,"(a) Agency banks are requested to seek guidance from respective Pension Sanctioning Authorities regarding the process to be followed for recovery of excess pension paid to the pensioners, if any. 
(b) Where excess pension payment has arisen on account of mistakes committed by the bank, the amount paid in excess should be refunded to the Government in lump-sum immediately after detection of the same and without waiting for recovery of any amount from the pensioners.",Payment of Pension to Government Pensioners
Should  acknowledgement be given by pension paying banks while accepting Life  Certificates from pensioners?,"There have been complaints that life certificates submitted over the counter of pension paying branches are misplaced causing delay in payment of monthly pensions. In order to alleviate the hardships faced by pensioners, agency banks were instructed to mandatorily issue duly signed acknowledgements. They were also requested to consider entering the receipt of life certificates in their CBS and issue a system generated acknowledgement which would serve the twin purpose of acknowledgement as well as real time updation of records.",Payment of Pension to Government Pensioners
Who is responsible for deduction of Income Tax at source from pension payment?,The pension paying bank is responsible for deduction of Income Tax from pension amount in accordance with the rates prescribed by the Income Tax authorities from time to time.,Payment of Pension to Government Pensioners
Can a pensioner withdraw pension from his/ her account when he/she is not able  to sign or put thumb/toe impression or unable to be present in the bank?,"Yes, instructions have been issued by RBI to pension disbursing banks to allow withdrawal of pension by following certain procedures which are given below: 
",Payment of Pension to Government Pensioners
Withdrawal  of pension by old/ sick/ disabled/ incapacitated pensioners,"Withdrawal of pension by old/ sick/ disabled/ incapacitated pensioners 
(i) In order to take care of problems/ difficulties faced by sick and disabled pensioners in withdrawal of pension / family pension from the banks, agency banks may categorise such pensioners as under: 
(a) Pensioner who is too ill to sign a cheque / unable to be physically present in the bank. 
(b) Pensioner who is not only unable to be physically present in the bank but also not even able to put his/her thumb impression on the cheque/ withdrawal form due to certain physical defect / incapacity. 
(ii) With a view to enabling such old/sick/incapacitated pensioners to operate their accounts, banks may follow the procedure as under: 
(a) Wherever thumb or toe impression of the old/sick pensioner is obtained, it should be identified by two independent witnesses known to the bank, one of whom should be a responsible bank official. 
(b) Where the pensioner cannot even put his/her thumb/ toe impression and also would not be able to be physically present in the bank, a mark can be obtained on the cheque/withdrawal form, which should be identified by two independent witnesses, one of whom should be a responsible bank official. Agency banks have been asked to display the instructions issued in this regard on their notice board at the branches so that sick and disabled pensioners can make full use of these facilities.",Payment of Pension to Government Pensioners
How the payment of Dearness Relief at revised rate is to be paid to the  pensioners?,"The pension paying agency banks have to revise the Dearness Relief based on the copies of government orders supplied by government to them through post, fax, e-mails or by accessing the information from the website of the concerned governments, and authorize their pension paying branches to make payments to the pensioners immediately.",Payment of Pension to Government Pensioners
Whether a pensioner is entitled for any compensation from the agency banks for  delayed credit of pension/ arrears of pension?,"Yes, pension paying banks should compensate the pensioner for delay in crediting pension/ arrears thereof at a fixed interest rate of 8 per cent per annum for the delay after the due date of payment. This compensation should be credited to the pensioner's account automatically without any claim from the pensioner on the same day when the bank affords credit for revised pension/ pension arrears, in respect of all delayed pension payments made since October 1, 2008.",Payment of Pension to Government Pensioners
What is the lowest interest rate available on personal loans?,"PNB offers personal loans at attractive rates starting from 9.0% p.a. However, the interest rate may vary from customer to customer depending on certain factors, customers including credit profile and relationship with the bank, to name a few.",Personal LoanFAQ
How does my income determine my interest rate?,Your income denotes your capacity to repay a loan. A higher income shows that you have a better financial bandwidth to repay the loan on time. This means that your risk level is low. Lenders prefer individuals with low risk profiles and may hence offer you a lower interest rate.,Personal LoanFAQ
How do my employment history and experience play a role in determining the rate of interest?,Working with reputed companies means that you are more likely to have a stable job and income. Your work experience shows work stability as well. This reflects on your loan rate.,Personal LoanFAQ
How does my credit score impact the cost of my loan?,"A good credit score indicates that you are responsible in handling your finances. This keeps your risk rating low. If your credit score is 750 and above, most likely you will be offered preferential rates.",Personal LoanFAQ
How does my current debt level determine my interest rate?,"When processing your loan application, lenders will look at how much debt you currently have. If youre spending most of your current income to repay existing loans, they may not grant you a personal loan. Even if they do, they will charge you a high rate of interest.",Personal LoanFAQ
How can I get a good interest rate?,"If you have a credit score, preferably above, 750 and are in good terms with the concerned lender, you might get preferential rates. Also, working in a reputed company and having a good credit profile may fetch you better rates.",Personal LoanFAQ
Can I get an interest rate lower than what is advertised by the lender?,"Yes, you may be able to get an interest rate lower than what is advertised by the lender. This is where negotiation plays a vital role. If youre able to negotiate well with the lender, you may be able to get a good rate.",Personal LoanFAQ
Can I get a low rate of interest even if my credit score is bad?,"Yes, you may be able to get a low rate. You can try and get a good rate by getting a co-applicant with good credit to apply along with you. Another way is to get a guarantor with good credit to back you up.",Personal LoanFAQ
"If I offer collateral, will it help me get a good interest rate?","Offering collateral is another way to get an affordable rate of interest. Your rate is determined based on your risk level. Offering collateral reduces your risk level significantly as it serves as security against non-repayment. But do keep in mind that if you fail to repay the loan on time, the lender might take over your collateral.",Personal LoanFAQ
Will I get a lower rate of interest if I take a loan from my existing lender?,"Having an existing relationship with a bank or lender is always beneficial. If you have a good relationship with your current banker, youre likely to get better loan terms. For example, you may get a rate of interest better than what most others get.",Personal LoanFAQ
Should I always choose the lowest available interest rate?,"The interest on the loan denotes the cost of your borrowing. Hence, it is always better to opt for the lowest interest rate available in the market when youre applying for the loan. But keep an eye out for other charges levied by your lender.",Personal LoanFAQ
What are some of the other fees and charges levied by lenders?,"Apart from your loan rate, there are a few  that form a part of your cost. These include the following:",Personal LoanFAQ
How is the processing fee calculated?,Some lenders charge a flat fee as processing fee while others typically charge a variable processing fee up to 2% of the loan amount. ,Personal LoanFAQ
How is my prepayment fee calculated?,Different lenders charge varying processing fees. This is calculated either as a percentage of the loan amount you apply for or is a fixed fee set by the lender.,Personal LoanFAQ
Can I avoid paying prepayment fees?,The only way you can avoid paying this fee is if your lender waives it off or doesnt charge you for making prepayments.,Personal LoanFAQ
Should I prepay my loan even if Im charged a prepayment fee?,"This depends on whether you can make up for paying the fee. Prepaying your loan will help you save on interest costs. Prepayments reduce your outstanding principal, which in turn, reduces the interest cost. Compare and see if the prepayment charges are lower than the interest amount you save. If yes, then it makes sense to prepay and terminate your loan faster.",Personal LoanFAQ
How much will I have to pay if I miss paying an EMI?,"Your lender will charge you a late payment fee if you fail to pay your EMI on time. This fee will be mentioned in your loan document. Apart from this, you may also have to pay a penalty for late payment.",Personal LoanFAQ
Can banks change the interest rate during the loan tenure?,"If you opt for a personal loan with a fixed interest rate, there will be no changes to the interest rate during the loan tenure. If you opt for a floating interest, the bank may change the interest rate when the MCLR changes.",Personal LoanFAQ
Are personal loan interest rates fixed or floating?,"You can opt for a fixed interest rate or floating interest rate, based on the options that are provided by the lender.",Personal LoanFAQ
Should I take a loan from a loan provider that offers the lowest EMI?,"While the EMI is an important factor to take into account, you should also consider other factors such as the processing fee, tenure of the loan, interest rate charged, repayment options, reliability of the loan provider, etc., when applying for a personal loan.",Personal LoanFAQ
How often does the variable or floating interest rate change?,"Banks will change the variable/floating interest rate each time the Repo-linked Lending Rate (RLLR) changes, as and when decided by RBI.",Personal LoanFAQ
What is the average interest rate on personal loans?,"Most banks charge personal loan interest rates between  The interest rate that you are charged will vary based on a number of factors such as your credit score, your income, the company that you are employed with, your age at the time of applying for the loan, etc. Thus, make sure to compare interest rates of different loan providers before applying for a personal loan.",Personal LoanFAQ
How do I benefit if the interest is calculated on a daily/monthly reducing balance?,"In the case of monthly reducing loans, the principal amount gets reduced each time you pay an EMI and the interest will only be calculated on the outstanding balance. In the case of daily reducing loans, the principal gets reduced on a daily basis and the interest is charged on whatever balance is outstanding. You, being the borrower, stand to benefit if you opt for a monthly/daily reducing personal loan since the overall interest that you will have to pay will be lesser.",Personal LoanFAQ
Is there any relationship discount on interest rates?,"If you currently have a good relationship with a loan provider, i.e. you are an existing customer of the bank/NBFC or you have availed a loan in the past for which all repayments were done as per schedule, you may be offered a preferential interest rate. However, this does not mean that all existing customers who apply for a personal loan will be offered a discounted interest rate.",Personal LoanFAQ
How does balance transfer help you get a lower interest rate?,"Personal loan balance transfer is a process by which the borrower transfers their outstanding loan balance from their current loan provider to a new loan provider. The primary benefit of doing this is that you can transfer the outstanding loan amount to a bank/financial institution that offers a lower interest rate, thereby reducing the overall interest that you will have to pay during the loan tenure.",Personal LoanFAQ
What does RTGS stand for?,"The acronym 'RTGS' stands for Real Time Gross Settlement, which can be explained as a system where there is continuous and real-time settlement of fund-transfers, individually on a transaction by transaction basis (without netting). 'Real Time' means the processing of instructions at the time they are received; 'Gross Settlement' means that the settlement of funds transfer instructions occurs individually.",RTGS
Are the payments under RTGS final and irrevocable?,"Considering that the funds settlement takes place in the books of the Reserve Bank of India, the payments are final and irrevocable.",RTGS
What are the benefits of using RTGS?,"RTGS offers many advantages over the other modes of funds transfer: 
(1) It is a safe and secure system for funds transfer. 
(2) RTGS transactions / transfers have no amount cap. 
(3) The system is available on all days on 24x7x365 basis. 
(4) There is real time transfer of funds to the beneficiary account. 
(5) The remitter need not use a physical cheque or a demand draft. 
(6) The beneficiary need not visit a bank branch for depositing the paper instruments. 
(7) The beneficiary need not be apprehensive about loss / theft of physical instruments or the likelihood of fraudulent encashment thereof. 
(8) Remitter can initiate the remittances from his / her home / place of work using internet banking, if his / her bank offers such service. 
(9) The transaction charges have been capped by RBI. The transaction has legal backing.",RTGS
How is the processing of RTGS different from that of National  Electronic Funds Transfer (NEFT) System?,"NEFT is an electronic fund transfer system in which the transactions received up to a particular time are processed in batches. Contrary to this, in RTGS, the transactions are processed continuously on a transaction by transaction basis throughout the day.",RTGS
Is RTGS a 24x7 system or are there some timings  applicable?,"RTGS is available 24x7x365 with effect from December 14, 2020.",RTGS
Is there any minimum / maximum amount stipulation for  RTGS transactions?,"The RTGS system is primarily meant for large value transactions. The minimum amount to be remitted through RTGS is ? 2,00,000/- with no upper or maximum ceiling.",RTGS
What about processing charges / service charges for RTGS  transactions?,"With effect from July 01, 2019, the Reserve Bank has waived the processing charges levied by it for RTGS transactions. Banks may pass on the benefit to its customers. 
With a view to rationalise the service charges levied by banks for offering funds transfer through RTGS system, a broad framework of charges has been mandated as under: 
a) Inward transactions ñ Free, no charge to be levied. 
b) Outward transactions ñ ? 2,00,000/- to 5,00,000/- : not exceeding ? 24.50/-; (exclusive of tax, if any). 
Above ? 5,00,000/- : not exceeding ? 49.50/-. (exclusive of tax, if any). 
Banks may decide to charge a lower rate but cannot charge more than the rates prescribed by RBI. 
Our Circular Ref. No. DPSS (CO) RPPD No.1140/04.03.01/2019-20 dated December 16, 2019 on ëFurthering Digital Payments ñ Waiver of Charges ñ NEFT Systemí (available at https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=11756&Mode=0) may be referred to for further details.",RTGS
What is the essential information that the remitting  customer needs to furnish to the bank for making a remittance?,"The remitting customer has to furnish the following information to a bank for initiating an RTGS remittance: 
(1) Amount to be remitted 
(2) The account number to be debited
(3) Name of the beneficiary bank and branch 
(4) The IFSC number of the receiving branch 
(5) Name of the beneficiary customer 
(6) Account number of the beneficiary customer 
(7) Sender to receiver information, if any.",RTGS
How would one know the IFSC number of the receiving  branch?,"The IFSC number can be obtained by the remitter (customer) from his / her bank branch. Alternatively, it is available on the cheque leaf of the beneficiary. This code number / bank branch information can be communicated by the beneficiary to the remitting customer. The list of IFSCs is also available on the RBI website at the link http://rbidocs.rbi.org.in/rdocs/RTGS/DOCs/RTGEB0815.xlsx",RTGS
Do all bank branches in India provide RTGS service? How  can a remitting customer know whether the bank branch of the beneficiary  accepts remittance through RTGS?,"For a funds transfer to go through RTGS, both the sending bank branch and the receiving bank branch need to be RTGS enabled. Presently, there are more than 1,65,000 RTGS enabled bank branches, the list of which is available on the RBI website at the link http://rbidocs.rbi.org.in/rdocs/RTGS/DOCs/RTGEB0815.xlsx",RTGS
What care should be taken while originating an RTGS  transaction?,"The following should be ensured while putting through a funds transfer transaction using RTGS: 
(1) Originating and destination bank branches are part of the RTGS network. 
(2) Beneficiary details such as beneficiary name, account number and account type, name and IFSC of the beneficiary bank branch should be available with the remitter. 
(3) Extreme care should be exercised in providing the account number of the beneficiary, as, during processing RTGS transactions, the credit will be given to the customerís account solely based on the account number provided in the RTGS remittance instruction / message.",RTGS
"In RTGS, why is credit to the beneficiary given  solely based on account number?","Transactions in RTGS happen in real time and it is not possible to match name and account number before affording credit to the beneficiary. Since name in the Indian context is spelt differently and would not really match with that available with the beneficiary bank, the process of affording credit solely based on the account number of the beneficiary has been enabled.",RTGS
What is the time taken for effecting funds transfer from  one account to another through RTGS?,"Under normal circumstances, the beneficiary branches are expected to receive the funds in real time as soon as funds are transferred by the remitting bank. The beneficiary bank must credit the beneficiary's account within 30 minutes of receiving the funds transfer message.",RTGS
Can a remitting customer initiate a transaction for a  future date?,"No, the RTGS system does not accept future value dated transactions.",RTGS
Can a transaction be originated to draw (receive) funds  from another account?,"No. RTGS is a credit-push system i.e., transactions can be originated by the payer / remitter / sender only to pay / transfer / remit funds to a beneficiary.",RTGS
Can an RTGS transaction be tracked? Would the remitting  customer receive an acknowledgement of money credited to the beneficiary's  account?,"While the customers do not have the facility to track the transaction, the RBI has implemented the feature of positive confirmation in an RTGS transaction. Under this, the remitting bank would receive a message from RBI (through the beneficiary bank) that the money has been credited to the beneficiary bank / customer account. Based on this, the remitting bank should advise the remitting customer that money has been credited to the receiving bankís beneficiary account.",RTGS
Would the remitting customer get back the money if it is  not credited to the beneficiary's account? Is there any time frame prescribed  for it?,"Yes, if it is not possible to credit the funds to the beneficiary customerís account for any reason, the funds received by the RTGS member bank will be returned to the originating bank within one hour of receipt of the payment at the Payment Interface (PI) or before the end of the RTGS Business day, whichever is earlier. Once the money is received back by the remitting bank, the original debit entry in the customer's account needs to be reversed.",RTGS
Is a customer eligible to get compensation for delay in  returning the payment?,"In case of any delay  in returning the failed payment, the originating customer is eligible to  receive compensation at current repo rate plus 2%.",RTGS
"Whom can a customer contact, in case of non-credit or  delay in credit to the beneficiary account?","The customer can contact his / her bank / branch if there is an issue of delay / non-credit to the beneficiary account. If the issue is not resolved satisfactorily, complaint may be lodged at email or by post at following address giving UTR number and details of the issue- 
The Chief General Manager Customer Education and Protection Department 
1st Floor, Amar Building 
Reserve Bank of India, 
SBS Road, Fort 
Mumbai ñ 400 001",RTGS
What is UTR number?,Unique Transaction Reference (UTR) number is a 22 character code used to uniquely identify a transaction in RTGS system.,RTGS
What  is LEI and what is its purpose?,"The Legal Entity Identifier (LEI) is a 20-digit number used to uniquely identify parties to financial transactions worldwide. It has been implemented to improve the quality and accuracy of financial data reporting systems for better risk management. It is used to create a global reference data system that uniquely identifies every legal entity in any jurisdiction that is party to a financial transaction. It can be obtained from any of the Local Operating Units (LOUs) accredited by the Global Legal Entity Identifier Foundation (GLEIF), the body tasked to support the implementation and use of LEI. In India, LEI can be obtained from Legal Entity Identifier India Ltd. (LEIL) (https://www.ccilindia-lei.co.in), which is also recognised as an issuer of LEI by the Reserve Bank.",RTGS
Which RTGS transactions should include LEI information?,"All payment transactions of value ?50 crore and above undertaken by entities (non-individuals) should include remitter and beneficiary LEI information from April 1, 2021. Banks should use the ëRemittance Informationí field for recording Remitter and Beneficiary LEI.",RTGS
Is LEI required for individual customer transactions?,"No, LEI is not required for customer transactions where both remitter and beneficiary are individuals.",RTGS
 Hi!, What is your favorite holiday?,Conversation
 one where I get to meet lots of different people., What was the most number of people you have ever met during a holiday?,Conversation
Hard to keep a count. Maybe 25., Which holiday was that?,Conversation
 I think it was Australia, Do you still talk to the people you met?,Conversation
 Not really. The interactions are usually short-lived but it's fascinating to learn where people are coming from and what matters to them," Yea, me too. I feel like God often puts strangers in front of you, and gives you an opportunity to connect with them in that moment in deeply meaningful ways. Do you ever feel like you know things about strangers without them telling you?",Conversation
 what do you mean?," I think it's like a 6th sense, often seen as ""cold readings"" to people, but can be remarkably accurate. I once sat next to a man in a coffee and I felt a pain in my back. I asked the stranger if he had a pain. It turns out that he did in the exact spot, and said he pulled a muscle while dancing at a party. I had never met the man before and never saw him again.",Conversation
" Wow! That's interesting, borderline spooky"," There's this practice called ""Treasure Hunting"" that's kind of a fun game you play in a public place. There's a book called ""The Ultimate Treasure Hunt"" that talks about it. You use your creativity to imagine people you will meet, and you write down a description, then you associate them with a positive message or encouraging word. Maybe you saw a teenage boy in a red hat at the shopping mall in your imagination, then while at the mall, you may find someone who matches that description. You show that you have a message for him and that you have a message for a boy in a red hat. You then give him a message of kindness or whatever was on your heart. You have no idea, sometimes you meet someone who is having a really hard day, and it brings them to tears to have a stranger show them love.",Conversation
" So, do you do treasure hunting often?"," I did more when I was in grad school (and had more time). I would usually go with friends. For a while I would go to the farmers market in Santa Cruz every week and try to feel if there is something I am supposed to tell a stranger. Usually, they are vague hope-filled messages, but it's weird when I blurt out something oddly specific.",Conversation
 Hi, Any plans for the weekend?,Conversation
 my friends are gonna visit me this weekend. we might go hiking!, That's great! How's the weather over the weekend? I hope its warm.,Conversation
 Should be very sunny! you?, Cool! very depressing plans ... stay home and work 😞 I have a project deadline very close.,Conversation
 😐 hope you get your work done very soon! a bug free weekend!," Right, very anxious! where do you plan to go for a hike?",Conversation
 I am going to Diablo!," Nice, where is that place? I haven't been there",Conversation
 hours drive from here. still in bay area, That's cool! How long is the hike?,Conversation
"  Actually no idea, but it will take the entire day for that.", nice! sounds fun!,Conversation
 Hi!, Hey there! What's up???,Conversation
" Nothing much, how you doin?", I'm in New York this week for Thanksgiving. I'm squatting in the office today and I caught up with an old friend of mine :D,Conversation
 Oh wow! Sounds like fun! When was the last time you had seen this friend?," The last time in New York, back in June.",Conversation
 Ohh okay. I was going to say if it had been a long time maybe it'd be awkward...," Haha, I guess if it's been a very long time there's almost too many life events to catch up on.. especially recently",Conversation
 Oh really? Has a lot changed in your life recently?, Haha it's probably too much to go into at the moment. Let's just say life is an exciting experience. How about you?,Conversation
" Ahhh sounds exciting indeed! My life is pretty bland. I like routine, but sometimes I wish I had more time for adventures!", What kinds of adventures?? Any ones that I would be able to join you on?,Conversation
 Hmmmm. I really want to try bull riding. Do you have any interest in that?, I'd love to try! Can we schedule something for next week?,Conversation
 Sure! What does your Saturday look like?," Saturday looks pretty good, shall we shoot for something in the morning?",Conversation
 Hi!, hey,Conversation
 is it raining pretty bad today?," yeah, can walk too far to see all the foodtruck options",Conversation
 surprising that the rain started early this year... I don't like them too much. They make days gloomy," yeah but I think it's good to have some rainy days in bay area, it's pretty dry here 😛",Conversation
" Where I grew up, we had lots of water trouble too..."," yeah like wise, I've seen a pretty bad snowstorm when I was at my undergrad school, all flights canceled and traffics went down",Conversation
 Haha... I don't think I can survive in that weather ever. Just the rains at 50 degrees make me want to sit in heated rroms, yeah how do you like it in bay area though? I think we need more rain here,Conversation
 people say there is drought here... but we have 24 hours water supply here ... lol... never seen that in a drought ridden area," it is pretty dry in the mountains I believe, that's what causes fire",Conversation
 hmm.... okay. Climate change talk this morning was pretty darn interesting. did you see it?," nope, what does it say?",Conversation
 Hi., Helloooooo!,Conversation
 How are you? How is your day?," Good. Don't have much to do today, feels good. How are you?",Conversation
 I'm dressed very wel today so I feel good! I've been reading a lot about the psychology of positive outlook., So what's your outlook? Something blue?,Conversation
 Yes. Blue is a tranquil colour. It's a good metaphor. Do you have good advice for positivity?," You should drink more water, do some push up, and sleep early.",Conversation
 Hi!," Hey, how are you?",Conversation
 I'm a bit sad. I miss my cat., Oh no… Have you sent out the missing cat posters? Hope your cat is alright!,Conversation
" Posters is a great idea. So far I've just tried banging her catfood dish and shouting her name. Anyway, how is your day going so far?"," Yea, I know they love the plastic bag sound all the time. I am good, nothing special though.",Conversation
" If you could go anywhere on vacation, where would you go?"," I like rainforest, but I know it requires extensive training beforehand.",Conversation
 I heard there are rainforests in southeast Asia where you can zipline from tree to tree., I am afraid I will be scared of doing this :),Conversation
" I won't lie, it sounds scary. I'm scared right now just thinking about it.", I don't know if there is any medication for acrophobia. I want to take plenty of it if I really have to do it.,Conversation
" If there isn't one, you should invent it, and then make millions", That's a great idea! Maybe alcohol is such a thing.,Conversation
" Ha! Don't drink and zipline, mate!", Oops. I won't do it again. Ha,Conversation
 Hi!, Hey sup,Conversation
 not much. any plans this weekend?, I'm going to try that thing where you hang from a wire as you go down. do you know what is it called?,Conversation
 ziplining?, that's the one! have you ever tried it?,Conversation
 i have a couple years ago. it's quite a unique experience, where did you do it?,Conversation
" i forgot where it was, it wasn't local i don't think though", no worries. what's the most exciting thing you ever done?,Conversation
 that's a hard question and i'm tired so i'm going to go. see you, sure. are you just going home now?,Conversation
" no, i'm going to get a massage first", nice. what type?,Conversation
 traditional kind, yeah I want to get one too soon,Conversation
 you should! it's relaxing after a long day. talk to you later!, ttyl!,Conversation
 Hi!," Hello, have you seen any good movies lately?",Conversation
" I watched a few lately, but nothing is as good as Avatar. what's your favorite?"," I have never seen Avatar, what is it about? I really enjoy the Avenger movies",Conversation
" it's a science-fiction movie with beautiful landscape of an imaginary nature with non-human creatures. people figured out a way to join that nature through Avatar transformation. the movie ends with a meaningful story of how human behaviors, e.g., cutting trees, have affected nature", That sounds really cool! I think that movie did really well when it was in the box office so it must be good!,Conversation
 yea. what else do you like to do beside movies?, I enjoy baking cookies. I am on a quest to bake the best chocolate chip cookie 🙂 What about you?,Conversation
 I enjoy eating 🙂, so definitely would like to try your best chocolate cookie,Conversation
 I will have to bake some soon and let you know. What types of food do you like to eat?, thanks! I generally love noodle soups like Pho or Ramen :),Conversation
 Noodle soup is delicious! Do you make homemade noodle soup or do you prefer to go out?, I prefer to go out. I'm not a good cook haha,Conversation
" Same! Even though I bake, I cannot cook"," seems like we share a thing in common, yay!",Conversation
 How has your week been?, So far so good. It is holiday season. So just chilling,Conversation
 I think I'm getting sick with a cold 😞 So you should chill on my behalf too cause I'm out the game for all of December., lol Sorry to hear that. Are you planning anything fun for December?,Conversation
 Nothing exciting. I'll be posted up at home for the most part. I did a lot of travelling this year so my budget would have stopped me even if I wasn't sick., 😂,Conversation
 Do you have big plans?, Yes! I am going to Hawaii! This will be my first time visiting Hawaii. Really excited about it.,Conversation
 I love Hawaii. It's a good place to be. I like going there cause it's humid so I never have to put on lotion., lol this is the first time I heard from a boy who cares about humidity and lotion. I cannot agree more.,Conversation
 Brooooo!!! It's so important. When I got to California beaches I have to carry 3 litres of lotion for the whole day., 😂,Conversation
" Very well, thanks for asking. How has your day been?", Getting better. I just recovered from a cold. I got wet in the rain last week. Are you planning anything for the holidays?,Conversation
